"Ultimate Green Goblin",OM1
"Sibsig's Artisan",YTDM
"The Emperor of Palamecia // The Lord Master of Hell",FIN
"The Wandering Rescuer",DSK
"Tishana's Tidebinder",LCI
"Candela, Aegis of Adagia",YEOE
"Lightfoot Technique",TDM
"Sidequest: Play Blitzball // World Champion, Celestial Weapon",FIN
"Demonic Counsel",DSK
"Floodfarm Verge",DSK
"Rakdos, Patron of Chaos",MKM
"Salvation Engine",DFT
"Marketback Walker",DFT
"Windcrag Siege",TDM
"Cavern of Souls",LCI
"Mountain",BLB
"Unstoppable Plan",DFT
"Spelunking",LCI
"Regal Bunnicorn",WOE
"Honest Work",TLA
"Not Dead After All",WOE
"Balustrade Wurm",PDSK
"Esper Origins // Summon: Esper Maduin",PFIN
"Pyrewood Gearhulk",DFT
"Leyline of Hope",DSK
"Summon: Choco/Mog",FIN
"Summon: Primal Odin",FIN
"Villainous Wrath",SPM
"Virtue of Strength // Garenbrig Growth",WOE
"Plains",TDM
"Riverpyre Verge",DFT
"Solitary Study // Endless Corridor",YDSK
"Release the Dogs",FDN
"Reckless Velocitaur",DFT
"Summon: Bahamut",FIN
"Scarlet Spider, Ben Reilly",PSPM
"Cruel Somnophage // Can't Wake Up",PWOE
"Elusive Otter // Grove's Bounty",WOE
"Jadelight Spelunker",LCI
"Anim Pakal, Thousandth Moon",PLCI
"ll-Out Assault",TDM
"Pest Control",BIG
"Rediscover the Way",PTDM
"Zhao, Ruthless Admiral",TLA
"Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel",FIN
"rchdruid's Charm",MKM
"Terrian, World Tyrant",DFT
"Scavenger Regent // Exude Toxin",PTDM
"Aang, at the Crossroads // Aang, Destined Savior",PTLA
"Kapow!",SPM
"Cori Mountain Stalwart",TDM
"Trystan's Command",ECL
"Beza, the Bounding Spring",PBLB
"Bender's Waterskin",TLA
"Whoosh!",SPM
"Gloomlake Verge",DSK
"Leyline Axe",FDN
"Officious Interrogation",PMKM
"Island",BLB
"Dion, Bahamut's Dominant // Bahamut, Warden of Light",PFIN
